Ticker	DRO Period	DomCycle
AAPL	7	40
ABBV	8	40
ACN	7	40
ADBE	8	60
ADP	8	60
AEM	9	20
AGI	11	20
AIR	8	40
AMD	6	40
AMGN	9	40
AMT	9	60
AMZN	8	40
ASML	6	40
AVGO	6	40
AXP	8	40
BA	7	40
BITF	5	60
BKNG	7	40
BLK	6	40
BN	7	40
BTBT	5	80
BTCUSD	6	80
CAT	7	40
CDE	8	40
CIFR	5	60
CL	7	60
CLSK	9	60
CLX	8	60
CME	10	60
COIN	7	60
COST	7	40
CRH	7	40
CRM	7	40
CRWD	8	40
CVX	8	80
D	11	60
DE	8	40
DG	9	60
DHR	7	40
DIS	7	60
DOCU	7	40
DRD	7	20
ELV	7	60
FDX	7	40
FICO	7	40
GDX	11	40
GFI	10	20
GME	6	60
GOLD	9	20
GOLD	9	20
GOLD	10	20
GOOG	9	20
GS	8	40
HD	9	60
HIMS	6	40
HIVE	9	80
HLT	7	60
HMY	9	20
HON	6	60
HOOD	7	60
HUT	6	80
IAG	8	20
IIPR	7	60
INTU	8	40
IREN	5	80
JNJ	7	40
JPM	6	40
KGC	12	20
KKR	8	40
KO	10	40
LLY	6	40
LMT	8	60
LOW	8	40
LULU	7	40
MA	8	40
MARA	6	40
MCD	9	40
MCO	7	40
MELI	7	40
META	8	40
MRK	7	60
MS	8	40
MSFT	7	40
MSGS	8	40
MSTR	10	40
NDQ	8	60
NEM	11	20
NFLX	8	60
NGD	8	20
NKE	9	60
NOW	6	40
NTLA	6	40
NVDA	7	60
NVO	7	40
NVS	9	20
O	9	40
OIL	8	40
OR	11	20
PEP	7	40
PFE	8	40
PG	8	40
PLD	6	40
PLTR	8	40
PSA	8	40
QCOM	7	40
QQQ	8	60
QSR	8	40
REGN	6	20
RGLD	11	20
RIOT	6	60
RR.	7	40
RTX	9	40
RUT	8	40
SILJ	10	20
SILVER	9	20
SMH	7	60
SNOW	6	40
SOFI	5	40
SPGI	8	40
SPX	8	40
STNE	6	40
TMO	9	40
TMUS	12	60
TSLA	7	60
TSLA	7	40
TTE	8	40
TTWO	10	60
TXN	7	40
ULVR	8	40
UNH	8	40
UNP	8	40
UPR	5	40
UPS	6	60
V	8	40
VDC	10	40
VDE	7	40
VFH	8	40
VHT	7	40
VIS	8	40
VIX	9	20
VNQ	6	40
VOX	7	40
WCN	7	40
WM	7	40
WMT	11	40
WPM	8	20
WULF	5	80
XOM	7	40
